id;Kanji;Strokes;Grade
41;一;1;1
124;乙;1;7
2060;了;2;7
2074;力;2;1
1577;二;2;1
1070;人;2;1
1584;入;2;1
829;七;2;1
359;九;2;1
1647;八;2;1
1903;又;2;7
1392;丁;2;3
907;十;2;1
1498;刀;2;2
1312;大;3;1
292;丸;3;2
557;己;3;6
1071;刃;3;7
1852;亡;3;6
587;口;3;1
588;工;3;2
1101;寸;3;6
1889;凡;3;7
360;久;3;5
361;及;3;7
362;弓;3;2
1138;夕;3;1
1906;万;3;2
131;下;3;1
650;乞;3;7
1166;千;3;1
1167;川;3;1
428;巾;3;7
693;才;3;2
952;女;3;1
959;小;3;1
1986;与;3;7
1493;土;3;1
744;三;3;1
745;山;3;1
1009;上;3;1
1010;丈;3;7
247;干;3;6
759;士;3;4
760;子;3;1
513;月;4;1
514;犬;4;1
1293;太;4;2
1807;片;4;6
1041;心;4;2
1561;屯;4;7
545;元;4;2
546;幻;4;7
1570;内;4;2
1829;方;4;2
1580;匂;4;7
46;引;4;2
558;戸;4;2
1583;日;4;1
1072;仁;4;6
1333;丹;4;7
1081;水;4;1
1853;乏;4;7
576;五;4;1
577;互;4;7
578;午;4;2
589;公;4;2
2125;六;4;1
590;勾;4;7
591;孔;4;7
1104;井;4;7
1876;木;4;1
87;円;4;1
855;尺;4;6
863;手;4;1
1376;中;4;1
105;王;4;1
1393;弔;4;7
883;収;4;6
1655;反;4;3
381;牛;4;2
1154;切;4;2
132;化;4;3
133;火;4;1
394;凶;4;7
1683;比;4;5
1941;毛;4;2
1435;爪;4;7
670;今;4;2
164;牙;4;7
1956;厄;4;7
172;介;4;7
429;斤;4;7
1711;匹;4;7
1971;友;4;2
445;区;4;3
960;升;4;7
1472;天;4;1
961;少;4;2
1217;双;4;7
1987;予;4;3
1736;不;4;4
1737;夫;4;4
1738;父;4;2
1484;斗;4;7
1776;仏;4;5
1011;冗;4;7
246;刈;4;7
761;支;4;5
1785;分;4;2
506;欠;4;4
762;止;4;2
1786;文;4;1
763;氏;4;4
768;市;5;2
769;矢;5;2
1284;他;5;3
1287;打;5;3
8;圧;5;5
15;以;5;4
1040;尻;5;7
1808;辺;5;4
1042;申;5;3
1558;凸;5;7
1814;弁;5;5
1567;丼;5;7
1823;母;5;2
1313;代;5;3
1314;台;5;2
547;玄;5;7
806;示;5;5
1830;包;5;4
2087;令;5;4
2088;礼;5;3
1578;尼;5;7
559;古;5;2
1334;旦;5;7
58;右;5;1
830;叱;5;7
831;失;5;4
68;永;5;5
841;写;5;3
592;功;5;4
593;巧;5;7
1105;世;5;3
594;広;5;2
1106;正;5;1
595;甲;5;7
1107;生;5;1
1875;北;5;2
1630;白;5;1
1886;本;5;1
864;主;5;3
106;凹;5;7
107;央;5;3
363;丘;5;7
364;旧;5;5
1904;末;5;4
1394;庁;5;6
1139;斥;5;7
884;囚;5;7
1140;石;5;1
1910;未;5;4
1656;半;5;2
1657;氾;5;7
1658;犯;5;5
382;去;5;3
1918;民;5;4
383;巨;5;7
1920;矛;5;7
134;加;5;4
135;可;5;5
651;号;5;3
908;汁;5;7
1168;仙;5;7
1169;占;5;7
1684;皮;5;3
1947;目;5;1
668;込;5;7
926;出;5;1
165;瓦;5;7
682;左;5;1
427;玉;5;1
1963;由;5;3
943;処;5;6
1712;必;5;4
1717;氷;5;3
446;句;5;5
962;召;5;7
197;外;5;2
1991;幼;5;6
1480;田;5;1
1992;用;5;2
1739;付;5;4
1740;布;5;5
469;兄;5;2
1494;奴;5;7
1499;冬;5;2
733;冊;5;6
734;札;5;4
743;皿;5;3
1774;払;5;7
242;且;5;7
248;刊;5;5
249;甘;5;7
507;穴;5;6
764;仕;5;3
1788;丙;5;7
765;史;5;4
1789;平;5;3
2045;立;5;1
766;司;5;4
767;四;5;1
1536;同;6;2
770;旨;6;7
515;件;6;5
771;死;6;3
772;糸;6;1
773;至;6;6
1029;色;6;2
1285;多;6;2
9;扱;6;7
1801;米;6;2
12;安;6;3
2061;両;6;3
16;衣;6;4
1318;宅;6;6
807;字;6;1
808;寺;6;2
809;次;6;3
810;耳;6;1
811;自;6;2
1579;弐;6;7
45;芋;6;7
301;企;6;7
1581;肉;6;2
302;伎;6;7
47;印;6;4
303;危;6;6
48;因;6;5
304;机;6;6
305;気;6;1
1073;尽;6;7
1074;迅;6;7
1587;任;6;5
2101;列;6;3
2102;劣;6;7
1593;年;6;1
826;式;6;3
59;宇;6;6
60;羽;6;2
1854;忙;6;7
1347;団;6;5
2115;老;6;4
840;芝;6;7
1355;地;6;2
1356;池;6;2
596;交;6;2
1108;成;6;4
597;光;6;2
1109;西;6;2
1877;朴;6;7
598;向;6;3
1366;竹;6;1
599;后;6;6
600;好;6;4
601;江;6;7
602;考;6;2
603;行;6;2
351;吉;6;7
865;守;6;3
1377;仲;6;4
866;朱;6;7
1378;虫;6;1
1895;毎;6;2
104;汚;6;7
365;休;6;1
366;吸;6;6
1646;肌;6;7
367;朽;6;7
368;臼;6;7
1395;兆;6;4
1651;伐;6;7
885;州;6;3
886;舟;6;7
1659;帆;6;7
1660;汎;6;7
1926;名;6;1
136;仮;6;5
395;共;6;4
396;叫;6;7
652;合;6;2
1164;舌;6;5
909;充;6;7
1170;先;6;1
1685;妃;6;7
1942;妄;6;7
420;仰;6;7
932;旬;6;7
933;巡;6;7
424;曲;6;3
1196;全;6;3
173;回;6;2
174;灰;6;6
175;会;6;2
1716;百;6;1
1972;有;6;3
694;再;6;5
953;如;6;7
1218;壮;6;7
963;匠;6;7
1219;早;6;1
1220;争;6;4
1481;伝;6;4
1993;羊;6;3
717;在;6;5
1485;吐;6;7
210;各;6;4
470;刑;6;7
1500;灯;6;4
1501;当;6;2
1765;伏;6;7
2035;吏;6;7
250;汗;6;7
251;缶;6;7
508;血;6;3
1278;存;6;6
1;亜;7;7
516;見;7;1
774;伺;7;7
1286;汰;7;7
775;志;7;5
776;私;7;6
1288;妥;7;7
1805;別;7;4
1294;対;7;3
2062;良;7;4
1295;体;7;2
17;位;7;4
1809;返;7;3
18;囲;7;4
19;医;7;3
1043;伸;7;7
1044;臣;7;4
1045;芯;7;7
1046;身;7;3
1047;辛;7;7
1568;那;7;7
548;言;7;2
293;含;7;7
1319;択;7;7
1831;芳;7;7
1320;沢;7;7
1832;邦;7;7
2089;冷;7;4
42;壱;7;7
2090;励;7;7
2091;戻;7;7
812;似;7;5
813;児;7;4
1327;但;7;7
306;岐;7;7
1586;尿;7;7
307;希;7;4
308;忌;7;7
1588;妊;7;7
309;汽;7;2
1589;忍;7;7
1080;図;7;2
1082;吹;7;7
2110;呂;7;7
1855;坊;7;7
1856;妨;7;7
1857;忘;7;6
1858;防;7;5
579;呉;7;7
1348;男;7;1
1604;把;7;7
2116;労;7;4
2117;弄;7;7
842;社;7;2
843;車;7;1
1099;杉;7;7
339;技;7;5
1110;声;7;2
1622;売;7;2
1883;没;7;7
604;坑;7;7
